file,natoms,formula,pubchem_cid,pubchem_url
geometries/natoms_54_cid_1286.sdf,54,C22H26O6,1286,https://pubchem.ncbi.nlm.nih.gov/compound/1286
geometries/natoms_45_cid_1288.sdf,45,C17H23N3O2,1288,https://pubchem.ncbi.nlm.nih.gov/compound/1288
geometries/natoms_52_cid_1289.sdf,52,C18H27N3O4,1289,https://pubchem.ncbi.nlm.nih.gov/compound/1289
geometries/natoms_76_cid_1305.sdf,76,C28H42N4O2,1305,https://pubchem.ncbi.nlm.nih.gov/compound/1305
geometries/natoms_82_cid_1306.sdf,82,C30H46N4O2,1306,https://pubchem.ncbi.nlm.nih.gov/compound/1306
geometries/natoms_39_cid_1307.sdf,39,C11H21N3O4,1307,https://pubchem.ncbi.nlm.nih.gov/compound/1307
geometries/natoms_49_cid_1309.sdf,49,C21H21NO6,1309,https://pubchem.ncbi.nlm.nih.gov/compound/1309
geometries/natoms_46_cid_1311.sdf,46,C20H21NO4,1311,https://pubchem.ncbi.nlm.nih.gov/compound/1311
geometries/natoms_39_cid_1319.sdf,39,C20H16O3,1319,https://pubchem.ncbi.nlm.nih.gov/compound/1319
geometries/natoms_46_cid_1329.sdf,46,C16H24N4O2,1329,https://pubchem.ncbi.nlm.nih.gov/compound/1329
geometries/natoms_40_cid_1332.sdf,40,C14H24O2+2,1332,https://pubchem.ncbi.nlm.nih.gov/compound/1332
geometries/natoms_39_cid_1333.sdf,39,C14H23O2+,1333,https://pubchem.ncbi.nlm.nih.gov/compound/1333
geometries/natoms_68_cid_1338.sdf,68,C27H38N2O+2,1338,https://pubchem.ncbi.nlm.nih.gov/compound/1338
geometries/natoms_39_cid_1353.sdf,39,C17H16N4O2,1353,https://pubchem.ncbi.nlm.nih.gov/compound/1353
geometries/natoms_42_cid_1372.sdf,42,C19H19NO3,1372,https://pubchem.ncbi.nlm.nih.gov/compound/1372
geometries/natoms_63_cid_1375.sdf,63,C21H33N5O4,1375,https://pubchem.ncbi.nlm.nih.gov/compound/1375
geometries/natoms_40_cid_1400.sdf,40,C16H19N5,1400,https://pubchem.ncbi.nlm.nih.gov/compound/1400
geometries/natoms_79_cid_1401.sdf,79,C28H41N7O3,1401,https://pubchem.ncbi.nlm.nih.gov/compound/1401
geometries/natoms_57_cid_1404.sdf,57,C23H22N4O8,1404,https://pubchem.ncbi.nlm.nih.gov/compound/1404
geometries/natoms_58_cid_1405.sdf,58,C24H23N5O6,1405,https://pubchem.ncbi.nlm.nih.gov/compound/1405
geometries/natoms_55_cid_1406.sdf,55,C20H32O3,1406,https://pubchem.ncbi.nlm.nih.gov/compound/1406
geometries/natoms_70_cid_1408.sdf,70,C24H39N3O4,1408,https://pubchem.ncbi.nlm.nih.gov/compound/1408
geometries/natoms_53_cid_1411.sdf,53,C21H28O4,1411,https://pubchem.ncbi.nlm.nih.gov/compound/1411
geometries/natoms_56_cid_1412.sdf,56,C20H32O4,1412,https://pubchem.ncbi.nlm.nih.gov/compound/1412
geometries/natoms_48_cid_1414.sdf,48,C17H28O3,1414,https://pubchem.ncbi.nlm.nih.gov/compound/1414
geometries/natoms_56_cid_1415.sdf,56,C20H32O4,1415,https://pubchem.ncbi.nlm.nih.gov/compound/1415
geometries/natoms_56_cid_1418.sdf,56,C22H29NO4,1418,https://pubchem.ncbi.nlm.nih.gov/compound/1418
geometries/natoms_54_cid_1419.sdf,54,C22H25N3O4,1419,https://pubchem.ncbi.nlm.nih.gov/compound/1419
geometries/natoms_42_cid_1420.sdf,42,C13H26O3,1420,https://pubchem.ncbi.nlm.nih.gov/compound/1420
geometries/natoms_59_cid_1423.sdf,59,C19H37NO2,1423,https://pubchem.ncbi.nlm.nih.gov/compound/1423
geometries/natoms_59_cid_1427.sdf,59,C20H34O5,1427,https://pubchem.ncbi.nlm.nih.gov/compound/1427
geometries/natoms_61_cid_1428.sdf,61,C20H36O5,1428,https://pubchem.ncbi.nlm.nih.gov/compound/1428
geometries/natoms_48_cid_1429.sdf,48,C17H28O3,1429,https://pubchem.ncbi.nlm.nih.gov/compound/1429
geometries/natoms_41_cid_1446.sdf,41,C17H22O2,1446,https://pubchem.ncbi.nlm.nih.gov/compound/1446
geometries/natoms_52_cid_1449.sdf,52,C18H32O2,1449,https://pubchem.ncbi.nlm.nih.gov/compound/1449
geometries/natoms_59_cid_1451.sdf,59,C25H32O2,1451,https://pubchem.ncbi.nlm.nih.gov/compound/1451
geometries/natoms_44_cid_1458.sdf,44,C14H21N5O4,1458,https://pubchem.ncbi.nlm.nih.gov/compound/1458
geometries/natoms_62_cid_1464.sdf,62,C27H28N6O,1464,https://pubchem.ncbi.nlm.nih.gov/compound/1464
geometries/natoms_64_cid_1469.sdf,64,C23H38O3,1469,https://pubchem.ncbi.nlm.nih.gov/compound/1469
geometries/natoms_45_cid_1470.sdf,45,C20H20O5,1470,https://pubchem.ncbi.nlm.nih.gov/compound/1470
